date,election_year,term,interest_raw,interest_scaled,geo,timeframe,source,batch_id,anchor_term,is_anchor,is_partial,collected_at
2018-03-04,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-11,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-18,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-25,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-01,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-08,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-15,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-22,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-29,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-06,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-13,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-20,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-27,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-03,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-10,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-17,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-24,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-01,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-08,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-15,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-22,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-29,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-05,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-12,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-19,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-26,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-02,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-09,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-16,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-23,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-30,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-07,2018,João Amoêdo,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-14,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-21,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-28,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-04,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-11,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-18,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-25,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-02,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-09,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-16,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-23,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-30,2018,João Amoêdo,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2017-12-31,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-07,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-14,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-21,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-28,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-04,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-11,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-18,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-25,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-04,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-11,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-18,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-25,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-01,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-08,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-15,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-22,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-29,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-06,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-13,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-20,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-27,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-03,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-10,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-17,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-24,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-01,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-08,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-15,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-22,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-29,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-05,2018,Henrique Meirelles,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-12,2018,Henrique Meirelles,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-19,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-26,2018,Henrique Meirelles,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-02,2018,Henrique Meirelles,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-09,2018,Henrique Meirelles,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-16,2018,Henrique Meirelles,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-23,2018,Henrique Meirelles,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-30,2018,Henrique Meirelles,5,5.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-07,2018,Henrique Meirelles,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-14,2018,Henrique Meirelles,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-21,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-10-28,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-04,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-11,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-18,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-11-25,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-02,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-09,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-16,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-23,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-12-30,2018,Henrique Meirelles,0,0.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2017-12-31,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-07,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-14,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-21,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-01-28,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-04,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-11,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-18,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-02-25,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-04,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-11,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-18,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-03-25,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-01,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-08,2018,Alvaro Dias,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-15,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-22,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-04-29,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-06,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-13,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-20,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-05-27,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-03,2018,Alvaro Dias,2,2.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-10,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-17,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-06-24,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-01,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-08,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-15,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-22,2018,Alvaro Dias,1,1.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-07-29,2018,Alvaro Dias,5,5.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-05,2018,Alvaro Dias,10,10.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-12,2018,Alvaro Dias,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-19,2018,Alvaro Dias,3,3.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-08-26,2018,Alvaro Dias,4,4.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-02,2018,Alvaro Dias,5,5.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-09,2018,Alvaro Dias,5,5.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-16,2018,Alvaro Dias,6,6.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-23,2018,Alvaro Dias,6,6.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
2018-09-30,2018,Alvaro Dias,18,18.0,BR,2018-01-01 2018-12-31,google_trends,batch_02,Jair Bolsonaro,False,False,2026-06-18T18:37:07
